stage,amounts_evaluated,total_digits,insertions,deletions,substitutions,digit_accuracy_percent,exact_amount_percent,one_error_amount_percent,two_or_more_errors_amount_percent,unresolved_count
direct,598,2598,2,151,150,88.33718244803696,71.73913043478261,15.88628762541806,12.37458193979933,16
edit_distance,598,2598,5,86,140,91.10854503464203,78.26086956521739,11.20401337792642,10.535117056856187,4
edit_distance_split,598,2598,5,84,140,91.1855273287144,78.42809364548495,11.20401337792642,10.367892976588628,4
fused,598,2598,3,86,119,91.99384141647421,78.42809364548495,13.210702341137123,8.361204013377927,4
